"x","y"
22.4583333325,43.5416666663
22.5416666659,43.3749999996
23.0416666659,43.3749999996
23.7083333325,43.1249999996
26.8749999992,42.8749999996
26.9583333325,48.6249999996
27.3749999992,42.3749999996
27.7083333325,43.2083333329
27.8749999992,42.0416666663
28.1249999992,45.6249999996
28.3749999992,45.3749999996
28.4583333325,49.2916666662
28.6249999992,45.3749999996
28.6249999992,45.6249999996
28.6249999992,48.9583333329
28.8749999992,44.6249999996
29.0416666658,47.5416666662
29.2083333325,48.7083333329
29.3749999992,45.0416666662
29.6249999992,46.7916666662
30.0416666658,46.3749999996
30.5416666658,50.4583333329
31.1249999992,46.8749999996
31.2083333325,47.7083333329
31.5416666658,46.7083333329
31.5416666658,47.1249999996
31.9583333325,49.5416666662
32.1249999992,47.0416666662
32.1249999992,48.7083333329
32.5416666658,46.6249999996
32.7916666658,47.2083333329
33.2083333325,47.2916666662
33.5416666658,47.6249999996
34.0416666658,47.5416666662
34.3749999991,45.7916666662
34.7916666658,45.4583333329
35.1249999991,47.5416666662
35.3749999991,46.4583333329
35.3749999991,46.7916666662
35.4583333325,47.0416666662
37.3749999991,45.2916666662
37.5416666658,47.1249999996
37.6249999991,44.7083333329
38.4583333325,47.2083333329
38.7083333325,46.7083333329
38.7916666658,47.2916666662
38.9583333325,45.0416666662
39.1249999991,44.9583333329
39.2083333325,51.6249999996
39.2916666658,47.2916666662
39.3749999991,50.9583333329
39.9583333325,50.5416666662
40.7916666658,47.1249999996
40.8749999991,49.9583333329
41.3749999991,46.9583333329
42.2916666658,47.7083333329
42.7916666658,46.3749999996
42.9583333324,48.0416666662
43.0416666658,49.3749999996
48.2083333324,46.3749999996
51.8749999991,47.0416666662
